Vazao	Mes	Ano
2.191323743	4	1962
1.934615189	5	1962
1.037995457	6	1962
0.446449659	7	1962
0.148816553	8	1962
0	9	1962
0	10	1962
0	11	1962
0	12	1962
0	1	1963
0.082380592	2	1963
1.413757254	3	1963
2.652655058	4	1963
1.971819327	5	1963
0.961106905	6	1963
0.446449659	7	1963
0.148816553	8	1963
0	9	1963
0	10	1963
0.038444276	11	1963
0.074408277	12	1963
0.781286903	1	1964
0.954478581	2	1964
2.12063588	3	1964
5.189977286	4	1964
6.101478674	5	1964
2.691099334	6	1964
2.418268987	7	1964
1.339348977	8	1964
0.499775591	9	1964
0.111612415	10	1964
0	11	1964
0	12	1964
0	1	1965
0	2	1965
0.334837244	3	1965
2.575766505	4	1965
4.129659346	5	1965
2.806432162	6	1965
1.823002774	7	1965
0.781286903	8	1965
0.230665657	9	1965
0.037204138	10	1965
0	11	1965
0	12	1965
0	1	1966
0.247141776	2	1966
0.22322483	3	1966
0.269109933	4	1966
0.297633106	5	1966
0.884218353	6	1966
0.483653797	7	1966
0.186020691	8	1966
0.038444276	9	1966
0	10	1966
0.076888552	11	1966
0.22322483	12	1966
0	1	1967
0.041190296	2	1967
0.930103456	3	1967
18.45325257	4	1967
11.04962906	5	1967
2.575766505	6	1967
1.525369668	7	1967
0.669674489	8	1967
0.192221381	9	1967
0	10	1967
0	11	1967
0	12	1967
0.111612415	1	1968
0.198849704	2	1968
1.897411051	3	1968
3.306207753	4	1968
3.720413825	5	1968
2.460433677	6	1968
1.264940701	7	1968
0.520857936	8	1968
0.153777105	9	1968
0	10	1968
0	11	1968
0	12	1968
0	1	1969
0.041190296	2	1969
0.483653797	3	1969
1.537771048	4	1969
1.525369668	5	1969
1.037995457	6	1969
0.63247035	7	1969
0.409245521	8	1969
0.115332829	9	1969
0	10	1969
0	11	1969
0	12	1969
0.111612415	1	1970
0.20595148	2	1970
0.669674489	3	1970
0.8073298	4	1970
0.520857936	5	1970
0.192221381	6	1970
0.037204138	7	1970
0	8	1970
0	9	1970
0	10	1970
0	11	1970
0	12	1970
0	1	1971
0.082380592	2	1971
0.63247035	3	1971
6.420194125	4	1971
9.412646978	5	1971
2.844876439	6	1971
1.413757254	7	1971
0.669674489	8	1971
0.192221381	9	1971
0.037204138	10	1971
0	11	1971
0	12	1971
0	1	1972
0.119309823	2	1972
0.669674489	3	1972
0.884218353	4	1972
1.041715871	5	1972
0.538219867	6	1972
0.22322483	7	1972
0.074408277	8	1972
0.076888552	9	1972
0	10	1972
0	11	1972
0.037204138	12	1972
0.074408277	1	1973
0	2	1973
0.111612415	3	1973
1.191772562	4	1973
2.604289678	5	1973
1.883769534	6	1973
1.227736562	7	1973
0.669674489	8	1973
0.192221381	9	1973
0.111612415	10	1973
0	11	1973
0	12	1973
0.074408277	1	1974
1.029757398	2	1974
2.381064848	3	1974
52.63021411	4	1974
8.594155937	5	1974
4.920867353	6	1974
2.678697954	7	1974
1.48816553	8	1974
0.538219867	9	1974
0.148816553	10	1974
0	11	1974
0.148816553	12	1974
0.037204138	1	1975
0.041190296	2	1975
1.48816553	3	1975
2.691099334	4	1975
3.236760028	5	1975
2.268212296	6	1975
1.860206913	7	1975
0.967307595	8	1975
0.30755421	9	1975
0.037204138	10	1975
0	11	1975
0.037204138	12	1975
0	1	1976
0.477239291	2	1976
0.63247035	3	1976
2.037546638	4	1976
1.562573807	5	1976
0.884218353	6	1976
0.409245521	7	1976
0.148816553	8	1976
0	9	1976
0	10	1976
0	11	1976
0	12	1976
0.074408277	1	1977
0.370712663	2	1977
0.520857936	3	1977
2.4219894	4	1977
3.683209687	5	1977
2.844876439	6	1977
1.934615189	7	1977
0.930103456	8	1977
0.30755421	9	1977
0.037204138	10	1977
0	11	1977
0	12	1977
0	1	1978
0.288332071	2	1978
1.71139036	3	1978
1.691548153	4	1978
1.860206913	5	1978
1.460882495	6	1978
0.818491042	7	1978
0.520857936	8	1978
0.153777105	9	1978
0	10	1978
0	11	1978
0	12	1978
0.037204138	1	1979
0.082380592	2	1979
1.004511733	3	1979
1.037995457	4	1979
1.190532424	5	1979
0.884218353	6	1979
0.446449659	7	1979
0.148816553	8	1979
0	9	1979
0	10	1979
0	11	1979
0	12	1979
0	1	1980
0.159079764	2	1980
1.71139036	3	1980
1.268661114	4	1980
0.63247035	5	1980
0.345998486	6	1980
0.148816553	7	1980
0.037204138	8	1980
0	9	1980
0	10	1980
0	11	1980
0	12	1980
0.074408277	1	1981
0.082380592	2	1981
0.558062074	3	1981
3.383096305	4	1981
1.785798636	5	1981
0.922662629	6	1981
0.409245521	7	1981
0.111612415	8	1981
0	9	1981
0	10	1981
0	11	1981
0	12	1981
0	1	1982
0	2	1982
0.148816553	3	1982
0.499775591	4	1982
1.71139036	5	1982
1.037995457	6	1982
0.483653797	7	1982
0.186020691	8	1982
0	9	1982
0	10	1982
0	11	1982
0	12	1982
0	1	1983
0.453093255	2	1983
0.372041383	3	1983
0.884218353	4	1983
0.446449659	5	1983
0.192221381	6	1983
0.037204138	7	1983
0	8	1983
0	9	1983
0	10	1983
0	11	1983
0	12	1983
0	1	1984
0	2	1984
0.074408277	3	1984
2.114435191	4	1984
7.589644204	5	1984
2.883320715	6	1984
1.562573807	7	1984
0.930103456	8	1984
0.30755421	9	1984
0.037204138	10	1984
0	11	1984
0	12	1984
0	1	1985
0.823805918	2	1985
1.636982083	3	1985
34.17696154	4	1985
12.68661114	5	1985
2.345100848	6	1985
1.525369668	7	1985
0.781286903	8	1985
0.269109933	9	1985
0.037204138	10	1985
0	11	1985
0.037204138	12	1985
0.037204138	1	1986
0.864996214	2	1986
2.232248295	3	1986
6.458638401	4	1986
3.125147613	5	1986
1.960658086	6	1986
1.116124148	7	1986
0.520857936	8	1986
0.153777105	9	1986
0	10	1986
0	11	1986
0	12	1986
0	1	1987
0	2	1987
0.669674489	3	1987
2.268212296	4	1987
1.264940701	5	1987
0.691996972	6	1987
0.334837244	7	1987
0.074408277	8	1987
0	9	1987
0	10	1987
0	11	1987
0	12	1987
0.037204138	1	1988
0.079539882	2	1988
0.446449659	3	1988
1.307105391	4	1988
2.901922784	5	1988
1.729992429	6	1988
0.892899318	7	1988
0.446449659	8	1988
0.153777105	9	1988
0	10	1988
0	11	1988
0	12	1988
0	1	1989
0.041190296	2	1989
0.037204138	3	1989
1.576215324	4	1989
3.162351752	5	1989
2.345100848	6	1989
1.934615189	7	1989
1.041715871	8	1989
0.345998486	9	1989
0.074408277	10	1989
0	11	1989
0.037204138	12	1989
0.111612415	1	1990
0.123570888	2	1990
0.22322483	3	1990
0.153777105	4	1990
0.409245521	5	1990
0.192221381	6	1990
0.111612415	7	1990
0.074408277	8	1990
0	9	1990
0	10	1990
0	11	1990
0	12	1990
0	1	1991
0.20595148	2	1991
0.372041383	3	1991
2.152879467	4	1991
2.009023466	5	1991
1.268661114	6	1991
0.558062074	7	1991
0.186020691	8	1991
0.038444276	9	1991
0	10	1991
0	11	1991
0	12	1991
0.074408277	1	1992
1.829417281	2	1992
2.418268987	3	1992
2.614210781	4	1992
1.450961392	5	1992
0.691996972	6	1992
0.409245521	7	1992
0.111612415	8	1992
0	9	1992
0	10	1992
0	11	1992
0	12	1992
0.074408277	1	1993
0.041190296	2	1993
0.148816553	3	1993
0.192221381	4	1993
0.186020691	5	1993
0.269109933	6	1993
0.148816553	7	1993
0.037204138	8	1993
0	9	1993
0	10	1993
0	11	1993
0	12	1993
0.260428968	1	1994
0.659044735	2	1994
12.76101942	3	1994
28.94853998	4	1994
9.301034564	5	1994
15.03171199	6	1994
3.348372443	7	1994
1.599777945	8	1994
0.576664143	9	1994
0.148816553	10	1994
0	11	1994
0	12	1994
0.074408277	1	1995
0	2	1995
0.037204138	3	1995
1.653103876	4	1995
13.20746908	5	1995
22.52834585	6	1995
2.269452434	7	1995
1.041715871	8	1995
0.345998486	9	1995
0.074408277	10	1995
0	11	1995
0	12	1995
0.037204138	1	1996
0.079539882	2	1996
1.078920009	3	1996
35.59939976	4	1996
20.61109259	5	1996
2.498877953	6	1996
1.339348977	7	1996
0.781286903	8	1996
0.269109933	9	1996
0.037204138	10	1996
0	11	1996
0	12	1996
0	1	1997
0	2	1997
0.186020691	3	1997
8.342407935	4	1997
3.459984858	5	1997
2.037546638	6	1997
0.930103456	7	1997
0.372041383	8	1997
0.076888552	9	1997
0	10	1997
0	11	1997
0	12	1997
0.148816553	1	1998
0.411902959	2	1998
0.22322483	3	1998
0.653552695	4	1998
0.372041383	5	1998
0.192221381	6	1998
0.111612415	7	1998
0.037204138	8	1998
0	9	1998
0	10	1998
0	11	1998
0	12	1998
0.148816553	1	1999
0.041190296	2	1999
0.037204138	3	1999
0.345998486	4	1999
1.934615189	5	1999
1.883769534	6	1999
0.892899318	7	1999
0.334837244	8	1999
0.076888552	9	1999
0	10	1999
0	11	1999
0	12	1999
0.595266212	1	2000
0.954478581	2	2000
2.715902093	3	2000
14.41660357	4	2000
10.82640423	5	2000
2.152879467	6	2000
1.413757254	7	2000
1.339348977	8	2000
0.615108419	9	2000
0.186020691	10	2000
0	11	2000
0	12	2000
0	1	2001
0	2	2001
0.446449659	3	2001
0.884218353	4	2001
0.818491042	5	2001
0.384442762	6	2001
0.372041383	7	2001
0.148816553	8	2001
0	9	2001
0	10	2001
0	11	2001
0.037204138	12	2001
0.781286903	1	2002
1.070947694	2	2002
1.823002774	3	2002
2.498877953	4	2002
2.864718646	5	2002
2.575766505	6	2002
1.413757254	7	2002
0.595266212	8	2002
0.153777105	9	2002
0	10	2002
0	11	2002
0	12	2002
0	1	2003
0.082380592	2	2003
1.302144839	3	2003
2.498877953	4	2003
2.306656572	5	2003
2.268212296	6	2003
1.376553115	7	2003
0.558062074	8	2003
0.192221381	9	2003
0	10	2003
0	11	2003
0	12	2003
0.372041383	1	2004
59.29698187	2	2004
4.092455208	3	2004
2.306656572	4	2004
1.785798636	5	2004
1.153328286	6	2004
0.818491042	7	2004
0.334837244	8	2004
0.076888552	9	2004
0	10	2004
0	11	2004
0	12	2004
0	1	2005
0.123570888	2	2005
0.520857936	3	2005
5.45908722	4	2005
2.56708554	5	2005
1.845325257	6	2005
1.004511733	7	2005
0.409245521	8	2005
0.115332829	9	2005
0	10	2005
0	11	2005
0	12	2005
0	1	2006
0.164761184	2	2006
1.264940701	3	2006
2.652655058	4	2006
19.1601312	5	2006
3.113986372	6	2006
1.823002774	7	2006
0.85569518	8	2006
0.269109933	9	2006
0.037204138	10	2006
0	11	2006
0	12	2006
0	1	2007
0.164761184	2	2007
1.413757254	3	2007
1.345549667	4	2007
2.232248295	5	2007
1.153328286	6	2007
0.558062074	7	2007
0.297633106	8	2007
0.038444276	9	2007
0	10	2007
0	11	2007
0	12	2007
0.111612415	1	2008
0.43746935	2	2008
10.86360837	3	2008
77.0423295	4	2008
14.1003684	5	2008
3.575317686	6	2008
2.195044157	7	2008
0.967307595	8	2008
0.345998486	9	2008
0.074408277	10	2008
0	11	2008
0	12	2008
0.037204138	1	2009
0.20595148	2	2009
22.13646226	3	2009
29.52520412	4	2009
24.14548573	5	2009
3.805983343	6	2009
2.306656572	7	2009
1.302144839	8	2009
0.730441248	9	2009
0.186020691	10	2009
0	11	2009
0	12	2009
0.260428968	1	2010
0.617854439	2	2010
0.297633106	3	2010
1.345549667	4	2010
1.860206913	5	2010
1.883769534	6	2010
1.041715871	7	2010
0.409245521	8	2010
0.115332829	9	2010
0	10	2010
0	11	2010
0.186020691	12	2010
0.186020691	1	2011
0.741425327	2	2011
1.562573807	3	2011
3.037097819	4	2011
4.166863484	5	2011
2.306656572	6	2011
2.157840019	7	2011
1.971819327	8	2011
0.730441248	9	2011
0.186020691	10	2011
0	11	2011
0	12	2011
0.111612415	1	2012
0.596549113	2	2012
1.599777945	3	2012
0.922662629	4	2012
0.483653797	5	2012
0.499775591	6	2012
0.260428968	7	2012
0.074408277	8	2012
0	9	2012
0	10	2012
0	11	2012
0	12	2012
